BUJUR	LINTANG	KEPERCAYAAN	REGION	PROVINSI	KABUPATEN	KECAMATAN	SATELIT	TANGGAL(WIB)	WAKTU(WIB)	RADIUS KEMUNGKINAN	TIPE
113.9691	-7.8749	8	JAWA	JAWA TIMUR	BONDOWOSO	KLABANG	SNPP	2023-08-24	12:45:57	1125	Pixel		
113.8055	-8.0327	8	JAWA	JAWA TIMUR	BONDOWOSO	MAESAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
113.8079	-8.0304	8	JAWA	JAWA TIMUR	BONDOWOSO	TAMANAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
113.9308	-7.8861	8	JAWA	JAWA TIMUR	BONDOWOSO	TAPEN	TERRA	2023-08-24	09:17:00	3000	Pixel		
113.8465	-7.9307	8	JAWA	JAWA TIMUR	BONDOWOSO	TENGGARANG	NOAA20	2023-08-24	00:58:57	1125	Pixel		
113.8486	-7.9298	8	JAWA	JAWA TIMUR	BONDOWOSO	TENGGARANG	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.4595	-6.9179	7	JAWA	JAWA TIMUR	GRESIK	PANCENG	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.4600	-6.9214	8	JAWA	JAWA TIMUR	GRESIK	PANCENG	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.4846	-6.9318	7	JAWA	JAWA TIMUR	GRESIK	PANCENG	SNPP	2023-08-24	12:45:57	1125	Pixel		
112.2476	-7.5759	8	JAWA	JAWA TIMUR	JOMBANG	DIWEK	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2486	-7.5705	8	JAWA	JAWA TIMUR	JOMBANG	DIWEK	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2470	-7.5741	8	JAWA	JAWA TIMUR	JOMBANG	DIWEK	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2436	-7.5735	8	JAWA	JAWA TIMUR	JOMBANG	DIWEK	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2451	-7.5699	8	JAWA	JAWA TIMUR	JOMBANG	DIWEK	SNPP	2023-08-24	00:07:45	1125	Pixel		
112.2030	-7.3803	8	JAWA	JAWA TIMUR	JOMBANG	KABUH	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.2936	-7.4348	8	JAWA	JAWA TIMUR	JOMBANG	KUDU	NOAA20	2023-08-24	00:58:57	1125	Pixel		
112.3455	-7.4047	9	JAWA	JAWA TIMUR	JOMBANG	KUDU	TERRA	2023-08-24	09:17:00	3000	Pixel		
112.3363	-7.4034	8	JAWA	JAWA TIMUR	JOMBANG	KUDU	TERRA	2023-08-24	09:17:00	3000	Pixel		
111.8276	-7.8174	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8343	-7.8074	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8299	-7.8067	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	NOAA20	2023-08-24	00:58:57	1125	Pixel		
111.8267	-7.8149	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
111.8277	-7.8155	8	JAWA	JAWA TIMUR	KEDIRI	BANYAKAN	SNPP	2023-08-24	00:07:45	1125	Pixel		
